id,PredictionString,negative,typical,indeterminate,atypical
00188a671292_study,negative 0.8009114503860474 0 0 1 1 typical 0.0273829006589949 0 0 1 1 indeterminate 0.0548117346689105 0 0 1 1 atypical 0.0168939076922833 0 0 1 1,0.8009114503860474,0.0273829006589949,0.0548117346689105,0.0168939076922833
004bd59708be_study,negative 0.0055577514367178 0 0 1 1 typical 0.8080945086479187 0 0 1 1 indeterminate 0.0731336196511983 0 0 1 1 atypical 0.013214134722948 0 0 1 1,0.0055577514367178,0.8080945086479187,0.0731336196511983,0.013214134722948
00508faccd39_study,negative 0.5854789519309997 0 0 1 1 typical 0.0960469368100166 0 0 1 1 indeterminate 0.1406243328750133 0 0 1 1 atypical 0.0778497721999883 0 0 1 1,0.5854789519309997,0.0960469368100166,0.1406243328750133,0.0778497721999883
006486aa80b2_study,negative 0.2664635345339775 0 0 1 1 typical 0.2464287662506103 0 0 1 1 indeterminate 0.3102484002709388 0 0 1 1 atypical 0.0768592899292707 0 0 1 1,0.2664635345339775,0.2464287662506103,0.3102484002709388,0.0768592899292707
00655178fdfc_study,negative 0.5432932925224304 0 0 1 1 typical 0.1509261578321457 0 0 1 1 indeterminate 0.1706964732706546 0 0 1 1 atypical 0.0350840767472982 0 0 1 1,0.5432932925224304,0.1509261578321457,0.1706964732706546,0.0350840767472982
00a81e8f1051_study,negative 0.5820003825426101 0 0 1 1 typical 0.1129797731339931 0 0 1 1 indeterminate 0.1514413505792617 0 0 1 1 atypical 0.0535784920677542 0 0 1 1,0.5820003825426101,0.1129797731339931,0.1514413505792617,0.0535784920677542
00be7de16711_study,negative 0.3191938233375549 0 0 1 1 typical 0.3182016620039939 0 0 1 1 indeterminate 0.2284830573201179 0 0 1 1 atypical 0.0341214542090892 0 0 1 1,0.3191938233375549,0.3182016620039939,0.2284830573201179,0.0341214542090892
00c7a3928f0f_study,negative 0.790673838853836 0 0 1 1 typical 0.0391134793125092 0 0 1 1 indeterminate 0.0571651010215282 0 0 1 1 atypical 0.0130475767329335 0 0 1 1,0.790673838853836,0.0391134793125092,0.0571651010215282,0.0130475767329335
00d63957bc3a_study,negative 0.6032218408584595 0 0 1 1 typical 0.1239919365942478 0 0 1 1 indeterminate 0.1347518395632505 0 0 1 1 atypical 0.0380343698337674 0 0 1 1,0.6032218408584595,0.1239919365942478,0.1347518395632505,0.0380343698337674
0107f2d291d6_study,negative 0.730689641237259 0 0 1 1 typical 0.0692865969240665 0 0 1 1 indeterminate 0.0767090207338333 0 0 1 1 atypical 0.023314732145518 0 0 1 1,0.730689641237259,0.0692865969240665,0.0767090207338333,0.023314732145518
0154653179fa_study,negative 0.0112075757584534 0 0 1 1 typical 0.0508293812139891 0 0 1 1 indeterminate 0.1065535085648298 0 0 1 1 atypical 0.7314095342159271 0 0 1 1,0.0112075757584534,0.0508293812139891,0.1065535085648298,0.7314095342159271
015f89ec55ea_study,negative 0.6890683221817017 0 0 1 1 typical 0.070661681741476 0 0 1 1 indeterminate 0.0972668392956256 0 0 1 1 atypical 0.0430031580477952 0 0 1 1,0.6890683221817017,0.070661681741476,0.0972668392956256,0.0430031580477952
0241bc13eac6_study,negative 0.2690507417917251 0 0 1 1 typical 0.2414373210072517 0 0 1 1 indeterminate 0.1732400250434875 0 0 1 1 atypical 0.2162719126045703 0 0 1 1,0.2690507417917251,0.2414373210072517,0.1732400250434875,0.2162719126045703
025bfc117ff8_study,negative 0.0018765528546646 0 0 1 1 typical 0.8533711028099059 0 0 1 1 indeterminate 0.0392908415757119 0 0 1 1 atypical 0.0054615126363933 0 0 1 1,0.0018765528546646,0.8533711028099059,0.0392908415757119,0.0054615126363933
028abd3504b6_study,negative 0.1480963563174009 0 0 1 1 typical 0.512662028670311 0 0 1 1 indeterminate 0.1845021304488182 0 0 1 1 atypical 0.0547395003587007 0 0 1 1,0.1480963563174009,0.512662028670311,0.1845021304488182,0.0547395003587007
02ee3a9820eb_study,negative 0.0045577044971287 0 0 1 1 typical 0.7169712996482849 0 0 1 1 indeterminate 0.1031911434233188 0 0 1 1 atypical 0.0752798633277416 0 0 1 1,0.0045577044971287,0.7169712996482849,0.1031911434233188,0.0752798633277416
0321bb7f84b5_study,negative 0.849260505437851 0 0 1 1 typical 0.0109930127765983 0 0 1 1 indeterminate 0.0320912910625338 0 0 1 1 atypical 0.0076551753608509 0 0 1 1,0.849260505437851,0.0109930127765983,0.0320912910625338,0.0076551753608509
03e0a59d9b8a_study,negative 0.1560821498930454 0 0 1 1 typical 0.3915025249123573 0 0 1 1 indeterminate 0.2483937200903892 0 0 1 1 atypical 0.1040216013789177 0 0 1 1,0.1560821498930454,0.3915025249123573,0.2483937200903892,0.1040216013789177
03fc9ec0dba8_study,negative 0.8758368301391602 0 0 1 1 typical 0.0037598956248257 0 0 1 1 indeterminate 0.015995175698772 0 0 1 1 atypical 0.0044080994301475 0 0 1 1,0.8758368301391602,0.0037598956248257,0.015995175698772,0.0044080994301475
045783dbe7d1_study,negative 0.2474784621596336 0 0 1 1 typical 0.3533886474370956 0 0 1 1 indeterminate 0.2059447607398033 0 0 1 1 atypical 0.0931881336867809 0 0 1 1,0.2474784621596336,0.3533886474370956,0.2059447607398033,0.0931881336867809
04c42f33c006_study,negative 0.0544461725279688 0 0 1 1 typical 0.2190680357813835 0 0 1 1 indeterminate 0.3185497027635574 0 0 1 1 atypical 0.3079360973834991 0 0 1 1,0.0544461725279688,0.2190680357813835,0.3185497027635574,0.3079360973834991
04c4e92d40b8_study,negative 0.0971780303865671 0 0 1 1 typical 0.406187230348587 0 0 1 1 indeterminate 0.2568912169337273 0 0 1 1 atypical 0.1397435047477483 0 0 1 1,0.0971780303865671,0.406187230348587,0.2568912169337273,0.1397435047477483
04d0f88f790a_study,negative 0.0171423708368092 0 0 1 1 typical 0.6317745923995972 0 0 1 1 indeterminate 0.1789316686987876 0 0 1 1 atypical 0.0721513562649488 0 0 1 1,0.0171423708368092,0.6317745923995972,0.1789316686987876,0.0721513562649488
